Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"Find a high-priced Greek restaurant with a 4.5 rating, accepts credit cards.",0.0,1.0,-0.0,1
1,Could you guide me to a museum with a 4-star rating and parking available?,0.0,1.0,-0.0,1
2,Find a high-priced hotel with a 4-star rating.,0.0,1.0,-0.0,1
3,"Find a high-priced Turkish cafe with 4 stars and contactless payment, parking available.",0.0,1.0,-0.0,1
4,"Hey, can you find me a cheap American restaurant with a 4.5 rating that accepts mobile payments?",0.0,1.0,-0.0,1
5,Please locate a high-end bar with a 4-star rating.,0.0,1.0,-0.0,1
6,"Could you tell me where a supermarket is, with cash payment and parking available?",0.0,1.0,-0.0,1
7,"Where's the nearest bakery, huh?",0.0,1.0,-0.0,1
8,Find a bar with a low price range and contactless payment.,0.0,1.0,-0.0,1
9,"Please find a low-priced Mexican restaurant with cash payment and parking available, rated 4 stars.",0.0,1.0,-0.0,1
10,Could you please guide me to a 5-star museum?,0.0,1.0,-0.0,1
11,"Find me a medium-priced hotel, credit card accepted, 3.5 stars.",0.0,1.0,-0.0,1
12,Can you find a high-rated hotel with contactless payment and parking?,0.0,1.0,-0.0,1
13,"Find a museum with a decent rating, please.",0.0,1.0,-0.0,1
14,"Could you please find a Thai cafe with parking, rated 4 stars, accepting credit cards?",0.0,1.0,-0.0,1
15,"Hey, got any low-priced hotels with a solid 4.5 rating?",0.0,1.0,-0.0,1
16,Please locate a medium-priced Thai cafe with contactless payment and a 5-star rating.,0.0,1.0,-0.0,1
17,Can you find a high-end supermarket with mobile payment and parking?,0.0,1.0,-0.0,1
18,"Could you help me find a bakery nearby, please?",0.0,1.0,-0.0,1
19,"Where's a low-priced French restaurant with parking, huh?",0.0,1.0,-0.0,1
